City,avg_rating,review_count,rating_std
Chindi,5.0,1,
Sainthia,5.0,1,
Perupalem,5.0,1,
Jhargram,5.0,1,
Jawahar,5.0,1,
Jagadhri,5.0,1,
Jadupur,5.0,2,0.0
Azamgarh,5.0,2,0.0
Hiala,5.0,1,
Haorang Sabal,5.0,1,
Avakali,5.0,1,
Ausa,5.0,3,0.0
Manalur,5.0,1,
Habra,5.0,1,
Sajan,5.0,1,
Duhka,5.0,1,
Salud Dugra,5.0,2,0.0
Ghanerao,5.0,1,
Sarangarh,5.0,1,
Garoi,5.0,5,0.0
Chamrajnagar,5.0,2,0.0
Shahpura,5.0,2,0.0
Galibeedu,5.0,2,0.0
Shangarh,5.0,1,
Ezhome,5.0,1,
Singarayakonda,5.0,2,0.0
Eppodumvenran,5.0,1,
Siuri,5.0,1,
Jibhi,5.0,3,0.0
Boisar,5.0,1,
Parthampura,5.0,4,0.0
Balicha,5.0,1,
Malbazar,5.0,5,0.0
Mainpuri,5.0,1,
Bhagdara,5.0,3,0.0
Maina,5.0,4,0.0
Bhairapur,5.0,1,
Mansa,5.0,6,0.0
Lunglei,5.0,5,0.0
Marigaon,5.0,1,
Mehkar,5.0,1,
Bataw,5.0,1,
Melukote,5.0,1,
Kuravilangad,5.0,3,0.0
Kulasekharam,5.0,1,
Nabarangpur,5.0,1,
Kodagurki,5.0,1,
Kidanganad,5.0,1,
Narsinghpur,5.0,1,
Khodala,5.0,7,0.0
Nayagrh,5.0,3,0.0
Neelavara,5.0,1,
Banni,5.0,1,
Nimgaon,5.0,1,
Khalapur,5.0,3,0.0
Kandla,5.0,3,0.0
Paithan,5.0,1,
Sonapur Pathar,5.0,4,0.0
Manali Tehsil,5.0,1,
Cheruthuruthi,5.0,2,0.0
Williamnagar,5.0,1,
Vagholi,5.0,1,
Thangadh,5.0,1,
Vallabh Vidyanagar,5.0,1,
The Nilgiris District,5.0,1,
Dahej,5.0,5,0.0
Dhali,5.0,1,
Thiruvavaduthurai,5.0,1,
Deo,5.0,4,0.0
Thoubal,5.0,1,
Vijaynagar,5.0,1,
Tattapani,5.0,1,
Valapad,5.0,1,
Sunabeda,5.0,1,
Turuvekere,5.0,1,
Upper Subansiri District,5.0,2,0.0
Alirajpur,5.0,1,
Yerragudi,5.0,1,
Ugapur,5.0,1,
Umroli,5.0,1,
Chapagaon,5.0,1,
Dispur,5.0,13,0.0
Tiptur,5.0,2,0.0
Attingal,4.9333,15,0.2582
Nagoa,4.9091,11,0.3015
Kakkanad,4.8947,19,0.4588
Bassi,4.8889,9,0.3333
Haflong,4.8889,9,0.3333
Pozhuthana,4.8889,27,0.3203
Itarsi,4.875,8,0.3536
Etmadpur,4.875,8,0.3536
Assagao,4.8621,29,0.4411
Barddhaman,4.8333,12,0.5774
Dharuhera,4.8333,6,0.4082
Achrol,4.8235,34,0.387
Bagdogra,4.8222,45,0.4903
Aluva,4.8219,1454,0.4786
Nileshwar,4.8087,183,0.5044
Songadh,4.8,5,0.4472
Baghpat,4.8,5,0.4472
Azhikode,4.8,5,0.4472
Nawanshahr,4.8,15,0.414
Gotagodi,4.7969,64,0.5096
Dabolim,4.7877,551,0.5084
Kuttikkanam,4.7812,32,0.42
Sanvordem,4.7812,32,0.42
Chopta,4.7778,9,0.441
Piramadam,4.7778,9,0.441
Deesa,4.7778,9,0.441
Chundale,4.775,120,0.5098
Chinnakanal,4.7632,38,0.542
Vellinezhi,4.75,12,0.4523
Rakchham,4.75,4,0.5
Anakulam,4.75,4,0.5
Udala,4.75,4,0.5
Egatoor,4.75,4,0.5
Bicholim,4.75,4,0.5
Chandauli,4.75,40,0.4935
Vanakbara,4.75,4,0.5
Rampachodavaram,4.75,4,0.5
Tajganj,4.75,4,0.5
Kattoor,4.7368,19,0.4524
Bambolim,4.7287,188,0.6424
Renukoot,4.7273,11,0.4671
Unjha,4.7273,11,0.4671
Nedumbassery,4.725,40,0.64
Nakinda,4.7222,18,0.4609
Chaukori,4.7143,14,0.4688
Tithal,4.7143,7,0.7559
Bidadi,4.7143,7,0.488
Delwara,4.7143,7,0.488
Parra,4.7143,7,0.488
Guirdolim,4.7143,7,0.7559
Vagator,4.7089,158,0.5789
Toranmal,4.7,10,0.483
Teda,4.6977,86,0.6149
Garbeta,4.6923,26,0.5491
Janakpuri,4.6923,13,0.4804
Kolagappara,4.6667,3,0.5774
Thergaon,4.6667,18,0.5941
Long Island,4.6667,3,0.5774
Lakkundi,4.6667,6,0.5164
Venkannaguda,4.6667,3,0.5774
Madla,4.6667,3,0.5774
Gholu Majra,4.6667,6,0.5164
Kudrasthe,4.6667,6,0.5164
Bhinar,4.6667,3,0.5774
Kasarkod,4.6667,9,0.5
Carmona,4.6667,3,0.5774
Khurja,4.6667,3,0.5774
Tasgaon,4.6667,3,0.5774
Chicolna,4.6667,3,0.5774
Khetri,4.6667,3,0.5774
Jamtara,4.6667,3,0.5774
Bandoli,4.6667,9,0.5
Dyathapura,4.6667,3,0.5774
Keonjhar,4.6545,110,0.5816
Gosaba,4.6531,49,0.6308
Phulbani,4.65,20,0.7452
Khopoli,4.6473,9655,0.7615
Poicha,4.6455,110,0.6146
Somnathpur,4.64,25,0.7
Tapovan,4.6399,311,0.676
Maradu,4.6364,11,0.5045
Geyzing,4.6356,365,0.6473
Salawas,4.6316,19,0.5973
Parwanoo,4.625,8,0.744
Shiroda,4.625,24,0.8242
Kotgarh,4.625,8,0.5175
Pernem,4.625,32,0.7071
Morjim,4.6246,2107,0.6638
Bhawanipatna,4.6216,37,0.6811
Agonda,4.6197,2385,0.6805
Muttom,4.619,21,0.669
Bahraich,4.619,21,0.4976
Tala,4.6176,34,0.652
Akluj,4.614,57,0.7009
Shegaon,4.6034,116,0.6578
Dhari,4.6,5,0.5477
Supin Range,4.6,10,0.6992
Sujangarh,4.6,5,0.5477
Begusarai,4.6,5,0.5477
Dharapuram,4.6,5,0.5477
Byndoor,4.6,15,0.6325
Parsada,4.6,10,0.5164
Rohtak,4.5976,164,0.7407
Nuvem,4.5949,195,0.7286
Taoru,4.5938,352,0.7099
Aamby Valley City,4.5882,17,0.6183
Sullia,4.5833,12,0.5149
Kolad,4.5796,226,0.7515
Sanguem,4.5735,272,0.6993
Mandrem,4.5719,876,0.6965
Kathua,4.5714,14,0.5136
Mopidevi,4.5714,7,0.5345
Baran,4.5714,7,0.7868
Bajaura,4.5714,7,0.5345
Korba,4.5714,21,0.6761
Chopdem,4.5714,7,0.7868
Kothamangalam,4.5669,127,0.7827
Utorda,4.5645,643,0.6791
Raiganj,4.56,25,0.6506
Magadi,4.5582,876,0.7827
Cuncolim,4.5581,43,0.7004
Gwaldam,4.5556,9,0.7265
Keori,4.5556,9,0.7265
Mhaismal,4.5556,18,1.0416
Kamshet,4.5556,252,0.7736
Payyanur,4.5556,9,0.7265
Saswad,4.5556,9,0.7265
Horanadu,4.5529,85,0.6815
Kohka,4.55,20,0.6048
Rohru,4.55,20,0.6048
Nizamabad,4.549,51,0.5767
Nargol,4.5455,11,0.6876
Great Nicobar Island,4.5455,11,0.6876
Poonch,4.5455,11,0.8202
Machilipatnam,4.5455,33,0.7538
Siddapura,4.5366,41,0.7449
Thodupuzha,4.5325,77,0.5979
Majorda,4.5308,569,0.7117
Murthal,4.5294,17,1.0073
Firozabad,4.5294,17,0.6243
Khaniyara,4.5294,17,0.5145
Padinjarathara,4.5263,19,0.6118
Benaulim,4.5246,1750,0.7183
Bera,4.5208,48,0.6838
Mira Bhayandar,4.5185,27,0.6427
Havelock Island,4.5175,7046,0.7568
Varca,4.5174,1695,0.7366
Badlapur,4.5172,29,0.7378
Morni Hills,4.5143,35,0.9194
Kumta,4.5128,39,0.8231
Malgund,4.5122,82,0.7411
Khubi,4.5119,84,0.6854
Ashvem Beach,4.5115,174,0.817
Betalbatim,4.5058,342,0.7649
Cavelossim,4.5056,1958,0.7536
Sabalgarh,4.5,2,0.7071
Canning,4.5,2,0.7071
Sagar,4.5,4,1.0
Chuntang,4.5,4,1.0
Astakatti,4.5,2,0.7071
Yupia,4.5,12,1.0
Yanam,4.5,20,0.6882
Vijayapura,4.5,2,0.7071
Salogra,4.5,2,0.7071
Chinsurah,4.5,2,0.7071
Dhaula Kuan,4.5,4,0.5774
Renigunta,4.5,2,0.7071
Vaduvur,4.5,4,0.5774
