rank,Place,avg_rating,review_count,rating_std,avg_polarity,rating_score,volume_score,sentiment_score,hotspot_score
1,Wonderla Amusement Park,4.7685,9328,0.58,0.4061,0.9421250000000001,0.9025225120808734,0.6606285714285713,0.873945
2,Della Adventure Park,4.7385,3904,0.6212,0.4132,0.934625,0.8094822197144071,0.6646857142857143,0.843094
3,ISKCON Temple Bangalore,4.6116,7723,0.6256,0.3591,0.9029,0.8823523555569152,0.6337714285714285,0.84291
4,Taj Mahal,4.3228,23231,0.8577,0.3509,0.8307,1.0,0.6290857142857142,0.841167
5,Imagica Theme Park,4.6421,5945,0.7528,0.3817,0.910525,0.8544025946250162,0.6466857142857142,0.84092
6,Swaminarayan Akshardham,4.4928,10181,0.7325,0.3718,0.8732,0.9118699833052967,0.6410285714285714,0.838367
7,Radhanagar Beach,4.6924,3950,0.5936,0.3915,0.9231,0.8107333687055253,0.6522857142857142,0.835227
8,Amber Fort,4.3633,13970,0.7975,0.3841,0.8408249999999999,0.9456688730520333,0.6480571428571429,0.833725
9,Imagica Water Park,4.684,3396,0.7504,0.4073,0.921,0.7945930072755637,0.6613142857142857,0.831141
10,Marine Drive,4.4492,8184,0.7479,0.3897,0.8623000000000001,0.8885457302370656,0.6512571428571429,0.827965
11,Seasonz India,4.8598,1134,0.4081,0.4926,0.96495,0.6774729443106767,0.7100571428571428,0.827728
12,Mehrangarh Fort,4.4662,6632,0.7239,0.4023,0.8665499999999999,0.8660838815203216,0.6584571428571427,0.824792
13,Gurudwara Bangla Sahib,4.5584,5584,0.6701,0.3434,0.8896,0.8477109959410436,0.6247999999999999,0.824073
14,Golden Temple,4.4707,8097,0.7387,0.3296,0.867675,0.8874040705337949,0.6169142857142857,0.823442
15,Humayun's Tomb,4.4358,7970,0.7745,0.3632,0.8589500000000001,0.8857152961888604,0.6361142857142857,0.822412
16,Lotus Temple,4.524,5387,0.6993,0.3375,0.881,0.843874495758536,0.6214285714285713,0.817948
17,Ramoji Film City,4.4853,5261,0.7827,0.3657,0.8713249999999999,0.8413464268276434,0.6375428571428571,0.815575
18,Bandra-Worli Sea Link,4.31,9160,0.8136,0.3973,0.8274999999999999,0.9005810360561867,0.6556,0.815044
19,Sula Vineyards,4.602,2568,0.7415,0.4198,0.9005000000000001,0.7647455895290276,0.6684571428571429,0.813365
20,Elefantastic,4.6385,2625,0.6734,0.3725,0.9096249999999999,0.7670901122299528,0.6414285714285715,0.813225
21,KidZania Mumbai,4.7022,1689,0.6334,0.4079,0.9255500000000001,0.7200039247998038,0.6616571428571428,0.811108
22,Lake Pichola,4.4203,5220,0.7379,0.3952,0.855075,0.8405107310746828,0.6544,0.810571
23,Water Kingdom,4.6899,1419,0.6426,0.4515,0.9224749999999999,0.7014068011660997,0.6865714285714286,0.808974
24,Birla Mandir,4.5069,3403,0.6851,0.4019,0.876725,0.7948129315299477,0.6582285714285714,0.808452
25,Lodhi Garden,4.5493,3457,0.6997,0.3502,0.8873249999999999,0.7964944425622197,0.6286857142857143,0.808348
26,Agra Fort,4.2995,8570,0.8246,0.3554,0.824875,0.8934688625097928,0.6316571428571428,0.80681
27,Kingdom of Dreams,4.5576,3031,0.7284,0.3541,0.8894,0.7824489328562169,0.6309142857142858,0.805618
28,Lalbagh Botanical Garden,4.3906,5807,0.7736,0.3498,0.84765,0.8518938233649894,0.6284571428571429,0.805085
29,EleSafari,4.8984,571,0.3457,0.435,0.9745999999999999,0.6042636727619297,0.6771428571428572,0.804008
30,Qutub Minar,4.2482,10358,0.8389,0.3245,0.8120499999999999,0.9137112222099696,0.614,0.802938
