Place,primary_city
1 MG Lido Mall,Bengaluru
10 Acres Mall,Ahmedabad
1008 Lingam Temple,Salem
101 Ft. Hanuman Idol,Chhindwara
108 Feet Height Statue Of Basaveshwara,Bidar
108 Parshwanath Bhaktivihar Tirth,Shankheshwar
108 Shiv Mandir,Kalna
108 Vinayagar Temple,Dindigul
11D Cinema,Bokaro Steel City
1857 Memorial Museum,Lucknow
19 Degree North,Aamby Valley City
1905 Prince's TriumphalArch Clock Tower,Mumbai
24 Avatars Group of Temples,Omkareshwar
32-km Loop Road,Yercaud
3Cs Mall,New Delhi
500 Years Old Shiva Temple,Hooghly
5D Max Entertainment,Haldwani
7 Wonders,Kota
72 Mad Street,Mohali
7th Mile View Point,Kalimpong
80 Mile Round,Kodaikanal
82° East SRMT Mall & Multiplex,Kakinada
925 Silver,Jaipur
9D VR Cinema Experience,Haldwani
A One Spa,Ramnagar
A Prakash and Co,Mussoorie
A to Z Shopping Mall,Kanpur
A.M (Art Multi-disciplines) Studio,Kolkata
AADRIK HOLIDAYS,Malbazar
AAN Adventure,Baijnath
AAR Mango Farm,Ratnagiri
AB Original Tours,Bharatpur
ALDER TOURS AND TRAVELS,Kohima
AMU Jama Masjid,Aligarh
AP State Museum,Hyderabad
APCA-VDCA Stadium,Visakhapatnam (Vizag)
ASI Museum,Konark
AUGUSTIN Studio & Gallery,Agonda
AZ Phizo Memorial,Kohima
Aadhi Arts,Chennai
Aahilya Dam,Nashik
Aai Museum,Mumbai
Aai Vajreshwari Devi Temple,Vajreshwari
Aakriti Art Gallery,Kolkata
Aakriti Nature Cure Centre,Bhopal
Aalankritha Art Gallery,Hyderabad
Aalloa Hills Resort & Golf Course,Gandhinagar
Aam Khas Bagh,Fatehgarh
Aamina Bazar,Solapur
Aanachadikuth Waterfalls,Thodupuzha
Aap Shambhu Temple,Jammu City
AapnoGhar Amusement and Water Park,Gurugram (Gurgaon)
Aare Ware Beach,Ratnagiri
Aarey Bhaskar Garden,Mumbai
Aarey Bhaskar Sports & Welfare Centre,Mumbai
Aarey Colony,Mumbai
Aarupadai Veedu Temple,Chennai
Aashirvad Cinemas,Thodupuzha
Aashirwad Art Gallery,Mumbai
Aatapi Wonderland,Vadodara
Aath Haveli,Nawalgarh
Aath Havelis,Jhunjhunu
Aath Koti Nani Paksh Jain Sthanak,Bhuj
Aathupalayam Dam,Karur
Aayiram Kaal Mandapam,Madurai
Aazhimala Siva Temple,Trivandrum
Abad Nucleus Mall,Kochi (Cochin)
Abbey Falls,Madikeri
Abbimatta Falls,Kudrasthe
Abbott Mount,Champawat
Abdul Nabi Mosque,New Delhi
Abdullah Khan's Tomb,Ajmer
Aberdeen Clock Tower,South Andaman Island
Abhaya Anjaneya Temple,Bhadrachalam
Abhaya Ganapathy Temple,Subrahmanya
