Place,avg_rating,review_count,rating_std
Manohar Thana Fort,5.0,1,
Kadile Papahareshwar Temple,5.0,2,0.0
Hornbill Park,5.0,1,
"Surya Mandir, Deo",5.0,4,0.0
Loukoipat Ecological Park,5.0,1,
Monument to Leo Tolstoy,5.0,1,
Surya Narayana Temple,5.0,1,
Ghosala Fort,5.0,1,
Suswani Mata Temple,5.0,1,
Swami Brahmanand Cave,5.0,1,
Swami Budha Amarnath Ji Mandir,5.0,1,
Swami Nithyananda Ashram,5.0,1,
Kitchen e Lazeez,5.0,2,0.0
Swami Vivekananda Vinay Mandir,5.0,1,
Pune Equestrian,5.0,1,
Bardhaman Science Centre,5.0,3,0.0
Swamithoppu Ayya Vaikundar Pathi,5.0,1,
Baramura Eco Park,5.0,1,
Barala Devi Temple,5.0,1,
Purnam Yoga Teacher Training in Goa,5.0,2,0.0
Knockout Fight Club,5.0,2,0.0
Surankote Valley,5.0,3,0.0
Quber Arts,5.0,2,0.0
Kodi Amman Temple,5.0,1,
Belekan beach,5.0,3,0.0
Duggan Valley,5.0,1,
Queen's Walkway,5.0,3,0.0
Sumthing LSE,5.0,3,0.0
Sun Temple Konarak,5.0,1,
Sunabeda Wildlife Sanctuary,5.0,1,
Qadam-I-Rasool,5.0,1,
Suraj Pol,5.0,1,
Sundarban Tour And Travels,5.0,3,0.0
Sunder Kund (Saunder's Pool),5.0,1,
Nava Toran Temple,5.0,2,0.0
Kachugaon Game Reserve,5.0,2,0.0
Sunset Point Mandu,5.0,1,
Bawan Jinalaya Jain Temple,5.0,1,
Kodanadu View Point,5.0,4,0.0
Swarn jaynti park,5.0,4,0.0
Gyap-Thago Heritage Home,5.0,1,
Qurasani Mosque,5.0,2,0.0
Baradari Summer Resort of Maharaja Ranjit Singh Ji,5.0,1,
Talapady Beach,5.0,1,
Talwas,5.0,1,
EarnMyTravel,5.0,3,0.0
Easel Art Gallery,5.0,3,0.0
Kailasanathar Cave Temple,5.0,1,
Tana Bana maheshwari handloom,5.0,6,0.0
Pride Resorts,5.0,8,0.0
Tapeshwar Temple,5.0,1,
Kileshwar Temple,5.0,4,0.0
Kile Pakho,5.0,2,0.0
Tarafeni River Dam,5.0,1,
Kigal Water Falls,5.0,1,
Kids City,5.0,4,0.0
Kaimoor Wildlife Sanctuary,5.0,2,0.0
Kaimur Hills,5.0,1,
Balunkeswar Mahesh Temple,5.0,1,
Tarun Ram Phukan Park,5.0,1,
HUDA Park,5.0,2,0.0
HIL Cinema,5.0,1,
Ghoghla Beach,5.0,1,
TNAU Botanical Garden,5.0,1,
Swatantryaveer Savarkar Rashtriya Smarak,5.0,1,
Prospect Point,5.0,5,0.0
Swetlana Cardoso,5.0,2,0.0
Bara Kaman,5.0,1,
Bara Asthal Monastery,5.0,1,
Symper Rock,5.0,1,
TMT Arts,5.0,1,
Kirpal Sagar,5.0,1,
Priyanka RCM store DAHEJ,5.0,5,0.0
Honnekatte Temple,5.0,1,
Banni Mata Temple,5.0,1,
Kinwat Wildlife Reserve,5.0,2,0.0
Lucky Burj,5.0,1,
Moho Khurd Dam,5.0,1,
Takhat Sagar Lake,5.0,2,0.0
Mohata devi temple,5.0,2,0.0
Belghar Nature Camp,5.0,5,0.0
J James & Co.,5.0,2,0.0
Trip My Kerala,5.0,3,0.0
Jabareshwar Temple,5.0,1,
Bhelughat Waterfall,5.0,1,
Sri Vashu Pujaya Swami Mandir,5.0,2,0.0
Sri Veeramaathi Amman Temple,5.0,3,0.0
Sri Venkatachalapathy Temple,5.0,1,
Girna Dam,5.0,5,0.0
Kondura Beach,5.0,4,0.0
Lord Baladev Jew Temple,5.0,1,
Mughal Masjid,5.0,1,
Jadeshwar Temple,5.0,7,0.0
Bhauche Udyan Park,5.0,3,0.0
Rajaji Memorial,5.0,1,
Sringeri Mutt Complex,5.0,2,0.0
BhaskarJyoti Entertainment,5.0,1,
Lord Jagarnth Temple,5.0,1,
Raj Rajeshwar Temple,5.0,1,
Girivilas Palace,5.0,1,
Rais ke Galle Pe (ADDA),5.0,2,0.0
Bhikha Behram Well,5.0,2,0.0
Sri Varadaraja Perumal Temple,5.0,2,0.0
Sri Subrahmanyeshwara Swamy Temple,5.0,2,0.0
Junglewala Escapes & Expeditions,5.0,1,
Jumble Tumble,5.0,3,0.0
Sri Othandeshwarar Temple,5.0,1,
Raju's Fashion Mall,5.0,2,0.0
Sri Parvati Gallery,5.0,2,0.0
Korattymuthy Shrine,5.0,2,0.0
Bhopatgad Fort,5.0,1,
Sri Ram Temple Bajha,5.0,1,
