City,avg_polarity,avg_subjectivity,review_count,dominant_sentiment
Manali Tehsil,1.0,0.3,1,Positive
Habra,1.0,0.3,1,Positive
Banni,0.9,0.875,1,Positive
Umroli,0.875,0.525,1,Positive
Tuensang,0.85,1.0,1,Positive
Tattapani,0.8,1.0,1,Positive
Ezhome,0.7667,0.8167,1,Positive
Mainpuri,0.75,0.525,1,Positive
Kodagurki,0.725,0.475,1,Positive
Azamgarh,0.7146,0.6604,2,Positive
Ausa,0.7,0.6315,3,Positive
Mansa,0.6512,0.7198,6,Positive
Ugapur,0.65,0.8,1,Positive
Tanakpur,0.65,0.8,1,Positive
Maina,0.649,0.7792,4,Positive
Perupalem,0.6417,0.6833,1,Positive
Long Island,0.6264,0.6979,3,Positive
Vallabh Vidyanagar,0.625,0.65,1,Positive
Williamnagar,0.6167,1.0,1,Positive
Thoubal,0.6,0.9,1,Positive
Ghazipur,0.6,1.0,1,Positive
Narsapur,0.6,0.8312,2,Positive
Neelavara,0.6,0.7333,1,Positive
Sajan,0.5964,0.7214,1,Positive
Khetri,0.5944,0.7889,3,Positive
Lakkundi,0.5901,0.69,6,Positive
Salud Dugra,0.5889,0.7389,2,Positive
Haorang Sabal,0.5875,0.6625,1,Positive
Vijaynagar,0.5873,0.7509,1,Positive
Dahej,0.5861,0.715,5,Positive
Marigaon,0.5833,0.8333,1,Positive
Anakulam,0.5762,0.7887,4,Positive
Renukoot,0.5745,0.6718,11,Positive
Nimgaon,0.5722,0.6444,1,Positive
Astakatti,0.5708,0.4833,2,Positive
Nelamangala,0.5705,0.6858,2,Positive
Panamaram,0.5618,0.7507,6,Positive
Sadahalli,0.5583,0.5657,3,Positive
Khodala,0.5506,0.668,7,Positive
Chopta,0.5503,0.6427,9,Positive
Avakali,0.55,0.775,1,Positive
Shangarh,0.55,0.65,1,Positive
Jagadhri,0.55,0.8,1,Positive
Sunabeda,0.55,0.85,1,Positive
Dispur,0.5495,0.5778,13,Positive
Boisar,0.5472,0.6806,1,Positive
Shrirampur,0.5458,0.6139,2,Positive
Jamtara,0.5435,0.7472,3,Positive
Siuri,0.5417,0.8667,1,Positive
Kandla,0.5389,0.6862,3,Positive
Vanakbara,0.5369,0.6321,4,Positive
Etawah,0.5341,0.8011,2,Positive
Koriya,0.5319,0.7005,7,Positive
Halol,0.5306,0.6569,7,Positive
Sagar,0.53,0.5325,4,Positive
Manalur,0.5182,0.7438,1,Positive
Haflong,0.513,0.6714,9,Positive
Azhikode,0.5128,0.665,5,Positive
Venkannaguda,0.5111,0.8556,3,Positive
Chopdem,0.5105,0.6136,7,Positive
Tiptur,0.5104,0.9125,2,Positive
Sujangarh,0.5069,0.6072,5,Positive
Kohka,0.5052,0.6632,20,Positive
Chinsurah,0.5042,0.8542,2,Positive
Chinnakanal,0.5022,0.6452,38,Positive
Chandauli,0.5011,0.5917,40,Positive
Chapagaon,0.5,0.8,1,Positive
Begusarai,0.5,0.58,5,Positive
Nabarangpur,0.5,0.5125,1,Positive
Mehkar,0.4987,0.6543,1,Positive
Mandarthi,0.4966,0.6509,4,Positive
Bhinar,0.4958,0.525,3,Positive
Mahe,0.4943,0.7043,13,Positive
Deo,0.4938,0.6188,4,Positive
Balotra,0.4894,0.7424,2,Positive
Rajakkad,0.4894,0.5889,3,Positive
Achrol,0.4865,0.6463,34,Positive
Arki,0.4835,0.7905,7,Positive
Assagao,0.4833,0.6877,29,Positive
Paravoor,0.483,0.701,7,Positive
Songadh,0.4819,0.6757,5,Positive
Aluva,0.4803,0.6521,1454,Positive
Spangmik,0.4802,0.7174,16,Positive
Maradu,0.4777,0.7041,11,Positive
Valmiki National Park,0.475,0.3833,2,Positive
Turuvekere,0.475,0.7,1,Positive
Pozhuthana,0.4745,0.6359,27,Positive
Tanuku,0.4745,0.6672,7,Positive
Attingal,0.4743,0.5728,15,Positive
Tuni,0.4738,0.6952,6,Positive
Raiganj,0.4737,0.5939,25,Positive
Bassi,0.473,0.7224,9,Positive
Gwaldam,0.4729,0.6587,9,Positive
Nagoa,0.4723,0.6632,11,Positive
Shahdara Sharif,0.47,0.465,2,Positive
Unjha,0.4671,0.5965,11,Positive
Salawas,0.467,0.65,19,Positive
Barua Sagar,0.4667,0.6667,3,Positive
Janakpuri,0.4657,0.6027,13,Positive
Kanjirappally,0.4656,0.7585,8,Positive
Bicholim,0.4633,0.6783,4,Positive
Anaimalai,0.4625,0.6333,2,Positive
Thodupuzha,0.4616,0.5733,77,Positive
Parsada,0.4603,0.7505,10,Positive
Sarangarh,0.46,0.55,1,Positive
Nayagrh,0.4577,0.5917,3,Positive
Nandara Kalan,0.4573,0.6459,9,Positive
Guirdolim,0.4569,0.6924,7,Positive
Khargone,0.4567,0.7258,10,Positive
Barwani,0.4562,0.5208,4,Positive
Tenali,0.4543,0.7373,10,Positive
Simdega,0.454,0.6952,1,Positive
Chundale,0.4522,0.6358,120,Positive
Barddhaman,0.4501,0.6074,12,Positive
Perumpuliyur,0.45,1.0,1,Positive
Kaipadar,0.45,0.77,5,Positive
Vellinezhi,0.4495,0.5811,12,Positive
Bagru,0.4495,0.5267,11,Positive
Jariput,0.4492,0.6867,5,Positive
Padinjarathara,0.4488,0.6652,19,Positive
Jadupur,0.4476,0.7012,2,Positive
Galibeedu,0.4474,0.5349,2,Positive
Saundatti,0.4472,0.6558,11,Positive
Kakkanad,0.4464,0.58,19,Positive
Sanasar,0.4463,0.6773,3,Positive
Chamrajnagar,0.4458,0.6083,2,Positive
Garbeta,0.4442,0.6333,26,Positive
Upper Subansiri District,0.4438,0.7875,2,Positive
Horanadu,0.4431,0.637,85,Positive
Nileshwar,0.4431,0.6515,183,Positive
