Place,avg_polarity,avg_subjectivity,review_count,dominant_sentiment
Laquenail & Lash Lounge,1.0,0.3,1,Positive
Andaman First Resort Tour & Travels,1.0,0.3,1,Positive
Hara Deepa,1.0,0.3,1,Positive
Mani Lhakhang Stupa,1.0,0.3,1,Positive
Sheikh Farid Baba Dargah,1.0,1.0,1,Positive
Hakumatkam Temple,1.0,0.3,1,Positive
Viya Home,1.0,0.3,1,Positive
Singing The Sufis,1.0,1.0,1,Positive
Girmal Waterfall,1.0,1.0,1,Positive
Kajal Dighi Wonderland,1.0,0.3,1,Positive
Muniyattukunnu Hillock,1.0,0.3,1,Positive
Charang Ghati Pass,1.0,1.0,2,Positive
Manjushree travel and trekking guide,1.0,0.65,1,Positive
Kutchi Art Gallery,0.95,0.4125,1,Positive
Jugibari Village Tourism Area,0.925,1.0,1,Positive
Aryan Art Gallery,0.925,1.0,1,Positive
Banni Mata Temple,0.9,0.875,1,Positive
Baisipali Wildlife Sanctuary,0.9,0.4,1,Positive
Atlantis Goa Holidays,0.8833,0.96,2,Positive
Vedalife,0.875,0.525,1,Positive
AAN Adventure,0.85,0.7,1,Positive
Temple of Dromton,0.85,1.0,1,Positive
Kaylong Temple,0.85,1.0,1,Positive
Mount Saramati,0.85,1.0,1,Positive
Dondole Falls,0.85,1.0,1,Positive
Manohar Thana Fort,0.85,1.0,1,Positive
Adityapuram Surya Temple,0.85,1.0,1,Positive
MANAV PATEL,0.85,1.0,1,Positive
Trimukhi Temple,0.85,1.0,1,Positive
Sabhyata Dwar,0.85,1.0,1,Positive
Ardhnareshwar Temple,0.85,1.0,1,Positive
Travel Surity,0.85,0.575,2,Positive
Kitchen e Lazeez,0.8438,0.475,2,Positive
Burhana Fakir Mosque,0.8375,0.7639,6,Positive
Netrani Adventures,0.8333,0.55,1,Positive
Shree Sant Lahari Ashram,0.8333,0.7833,1,Positive
Shahabad Fort,0.8333,0.9167,1,Positive
Tirupati Gangai Amman temple - Chennai,0.825,0.875,2,Positive
Puthen Variam Stores,0.8,0.75,1,Positive
Shiva Yoga Niketan,0.8,0.6,1,Positive
Madhupur Satra,0.8,0.75,1,Positive
Baba Sumeshwar Nath Temple,0.8,0.75,1,Positive
Thiruverkadu Devi Karumariamman Temple,0.8,0.75,1,Positive
Parasakthi Mari Amman Temple,0.8,1.0,1,Positive
Dholwal Dam,0.8,0.65,1,Positive
War Memorial & Museum,0.8,0.75,1,Positive
Hindustan Organica,0.8,1.0,1,Positive
Fly Bir Billing,0.8,0.95,1,Positive
Keraladeshpuram Temple,0.8,0.75,1,Positive
Deoli Fish Farm,0.8,0.75,1,Positive
Desh Bandhu Gupta Statue,0.8,0.75,1,Positive
Hazarat Nizam Shah Nandodi Sarkaar,0.8,0.65,1,Positive
Temples of Bandyopadhyay Family,0.8,0.75,1,Positive
Rong Lungten Lee,0.8,1.0,1,Positive
Raghunath Mohapatra Art & Craft,0.8,0.75,1,Positive
Madhab Than,0.8,0.75,1,Positive
Delhi War Cemetery,0.7844,0.9156,5,Positive
Munsab Biscuit Store,0.7833,0.4458,3,Positive
Church of St. John The Baptist,0.7778,0.8444,3,Positive
Alagunachi Amman Temple,0.775,0.8,1,Positive
Kota Chambal Bridge,0.775,0.9,4,Positive
Ezhilam Tourism,0.7667,0.8167,1,Positive
Sohel Arts,0.7625,0.8688,2,Positive
Qurasani Mosque,0.7583,0.8167,2,Positive
Kannad kaddi Ashram,0.75,0.525,1,Positive
Army School,0.75,0.9333,2,Positive
Tarun Ram Phukan Park,0.75,1.0,1,Positive
Shri Ramakrishna Ashram,0.75,0.8,1,Positive
Memoriale Sawai Mansingh,0.75,0.675,1,Positive
AUGUSTIN Studio & Gallery,0.742,0.688,5,Positive
Surya Narayana Temple,0.7417,1.0,1,Positive
Ayya Art Gallery,0.7375,0.7062,2,Positive
Maa Kaali Mandir,0.7333,0.5963,1,Positive
Radhaballavjiu Temple,0.7333,0.7333,1,Positive
Sunset Point Mandu,0.7333,0.7,1,Positive
Prantika,0.7326,0.8479,6,Positive
The Ashleys,0.7283,0.8383,2,Positive
Extreme Karts & Adventures,0.725,0.475,1,Positive
Krem Phyllut,0.725,0.725,1,Positive
Rakasganda Fall,0.725,1.0,1,Positive
Good Shepherd Auditorium,0.725,0.65,2,Positive
Zylnn Antiques,0.72,0.8083,2,Positive
Origins Spa,0.7167,0.6792,2,Positive
Braham Dev Ji Temple,0.7167,0.8667,1,Positive
Baleshwar Temple,0.7167,0.8333,2,Positive
Bhairo Baba Mandir,0.7146,0.6604,2,Positive
Rukmini Devi temple,0.7056,0.8111,3,Positive
Muringamangalam Sree Mahadevar Temple,0.7,0.6,1,Positive
Sultani Masjid,0.7,0.6,1,Positive
Swami Vivekananda Vinay Mandir,0.7,0.2,1,Positive
Neemach Mata,0.7,0.6,1,Positive
Peacock Garden,0.7,0.6,1,Positive
Tropical Botanical Garden,0.7,0.6,1,Positive
Hariom Hand Printers,0.7,0.6,1,Positive
Dharmaraj Temple,0.7,0.6,1,Positive
Rhino Taxi,0.7,0.6,1,Positive
Emmanual Methodist Church,0.7,0.6,1,Positive
Perwaghagh Falls,0.7,0.6167,3,Positive
Jahaan Tour and Travel,0.7,0.8333,1,Positive
Liphanyan Governor's Camp,0.7,0.85,2,Positive
Elembalai Hill,0.7,0.6,1,Positive
9D VR Cinema Experience,0.7,0.6,1,Positive
Kollanpaku Jain Temple,0.7,0.65,4,Positive
Wave Cinemas,0.7,0.6,1,Positive
Method Art Space,0.7,0.75,1,Positive
Appan Thampuran Smarakam,0.7,0.6,1,Positive
Sri Theertheswarar Swami Devasthanam,0.7,0.6,1,Positive
Shri Keshav Balaji Devasthan,0.7,0.6315,3,Positive
