City,review_count,avg_rating,rating_std,min_rating,max_rating,unique_places,unique_reviewers,five_star_rate,rank,dense_rank,row_num,pct_rank,review_pct
New Delhi,96937,4.2632,0.8745,1.0,5.0,423,1,0.4875,1,1,1,0.0,6.54
Mumbai,81483,4.271,0.8468,1.0,5.0,440,1,0.4835,2,2,2,0.0006,5.5
Bengaluru,54733,4.3814,0.8,1.0,5.0,311,1,0.5473,3,3,3,0.0011,3.69
Hyderabad,39622,4.2745,0.8515,1.0,5.0,244,1,0.4886,4,4,4,0.0017,2.67
Agra,39271,4.3126,0.8521,1.0,5.0,70,1,0.5187,5,5,5,0.0022,2.65
Jaipur,37717,4.2355,0.8539,1.0,5.0,186,1,0.4617,6,6,6,0.0028,2.54
Udaipur,30333,4.2554,0.8369,1.0,5.0,86,1,0.4668,7,7,7,0.0033,2.05
Kolkata,30283,4.1861,0.8708,1.0,5.0,231,1,0.4353,8,8,8,0.0039,2.04
Chennai,24595,4.1707,0.8969,1.0,5.0,390,1,0.4338,9,9,9,0.0044,1.66
Pune,22907,4.2372,0.8624,1.0,5.0,254,1,0.4663,10,10,10,0.005,1.55
Mysuru (Mysore),22741,4.2814,0.8376,1.0,5.0,76,1,0.485,11,11,11,0.0055,1.53
Amer,21055,4.434,0.7734,1.0,5.0,12,1,0.5805,12,12,12,0.0061,1.42
Kochi (Cochin),19809,4.1852,0.8593,1.0,5.0,106,1,0.4268,13,13,13,0.0066,1.34
Ahmedabad,18732,4.3238,0.8036,1.0,5.0,119,1,0.5017,14,14,14,0.0072,1.26
Srinagar,17225,4.2882,0.8284,1.0,5.0,60,1,0.4877,15,15,15,0.0078,1.16
Ooty,16580,4.1906,0.9026,1.0,5.0,60,1,0.4508,16,16,16,0.0083,1.12
Gangtok,16427,4.1997,0.8624,1.0,5.0,48,1,0.4379,17,17,17,0.0089,1.11
Leh,16204,4.1392,0.9184,1.0,5.0,75,1,0.4254,18,18,18,0.0094,1.09
Amritsar,16081,4.1489,0.9902,1.0,5.0,55,1,0.4624,19,19,19,0.01,1.08
Jodhpur,15745,4.2828,0.8366,1.0,5.0,72,1,0.4889,20,20,20,0.0105,1.06
Varanasi,15641,3.9478,0.9548,1.0,5.0,103,1,0.3277,21,21,21,0.0111,1.06
Manali,15369,4.2489,0.8366,1.0,5.0,38,1,0.4611,22,22,22,0.0116,1.04
Shimla,14757,4.1666,0.905,1.0,5.0,63,1,0.4359,23,23,23,0.0122,1.0
Darjeeling,13982,4.1857,0.8704,1.0,5.0,73,1,0.4316,24,24,24,0.0127,0.94
Jaisalmer,13734,3.9864,1.0319,1.0,5.0,49,1,0.3786,25,25,25,0.0133,0.93
Pondicherry,12271,4.2804,0.8737,1.0,5.0,53,1,0.4984,26,26,26,0.0139,0.83
Munnar,11745,4.2306,0.8374,1.0,5.0,31,1,0.4504,27,27,27,0.0144,0.79
Gurugram (Gurgaon),11395,4.3882,0.822,1.0,5.0,56,1,0.5602,28,28,28,0.015,0.77
Trivandrum,11179,4.2233,0.8427,1.0,5.0,101,1,0.4487,29,29,29,0.0155,0.75
Kodaikanal,11150,4.2371,0.8591,1.0,5.0,33,1,0.4611,30,30,30,0.0161,0.75
South Andaman Island,10054,4.0492,0.9449,1.0,5.0,39,1,0.3793,31,31,31,0.0166,0.68
Chandigarh,9991,4.3907,0.8073,1.0,5.0,45,1,0.5588,32,32,32,0.0172,0.67
Visakhapatnam (Vizag),9969,4.2346,0.8545,1.0,5.0,60,1,0.4576,33,33,33,0.0177,0.67
Khopoli,9655,4.6473,0.7615,1.0,5.0,7,1,0.7748,34,34,34,0.0183,0.65
Lonavala,8474,4.4641,0.8258,1.0,5.0,35,1,0.6308,35,35,35,0.0188,0.57
Mussoorie,8427,4.1375,0.9617,1.0,5.0,38,1,0.4406,36,36,36,0.0194,0.57
Puri,8105,4.0795,0.9451,1.0,5.0,38,1,0.3977,37,37,37,0.0199,0.55
Nainital,7961,4.3094,0.817,1.0,5.0,36,1,0.4991,38,38,38,0.0205,0.54
Kalpetta,7837,4.0415,0.9227,1.0,5.0,26,1,0.3647,39,39,39,0.0211,0.53
Mahabaleshwar,7779,4.2514,0.8394,1.0,5.0,39,1,0.4651,40,40,40,0.0216,0.52
Mahabalipuram,7489,4.1764,0.834,1.0,5.0,33,1,0.4094,41,41,41,0.0222,0.51
Panjim,7114,4.2584,0.8891,1.0,5.0,62,1,0.4895,42,42,42,0.0227,0.48
Havelock Island,7046,4.5175,0.7568,1.0,5.0,8,1,0.6453,43,43,43,0.0233,0.48
Hampi,6950,4.0393,0.9142,1.0,5.0,52,1,0.36,44,44,44,0.0238,0.47
Kanyakumari,6897,4.1259,0.8887,1.0,5.0,44,1,0.4026,45,45,45,0.0244,0.47
Mount Abu,6871,4.2898,0.8313,1.0,5.0,30,1,0.4887,46,46,46,0.0249,0.46
Lucknow,6794,4.1407,0.8892,1.0,5.0,78,1,0.4117,47,47,47,0.0255,0.46
McLeod Ganj,6741,4.0803,0.9532,1.0,5.0,17,1,0.4029,48,48,48,0.026,0.45
Rishikesh,6674,4.1729,0.8606,1.0,5.0,33,1,0.4186,49,49,49,0.0266,0.45
Nashik,6596,4.3525,0.854,1.0,5.0,80,1,0.5549,50,50,50,0.0271,0.44
Baga,6589,4.3309,0.8859,1.0,5.0,4,1,0.5424,51,51,51,0.0277,0.44
Madurai,6406,4.2032,0.8549,1.0,5.0,35,1,0.4402,52,52,52,0.0283,0.43
Rameswaram,6365,3.9425,0.9567,1.0,5.0,26,1,0.3263,53,53,53,0.0288,0.43
Aurangabad,6335,4.0096,0.9003,1.0,5.0,42,1,0.3388,54,54,54,0.0294,0.43
Bhubaneswar,6078,4.1346,0.902,1.0,5.0,75,1,0.4093,55,55,55,0.0299,0.41
Thekkady,6040,4.026,0.9579,1.0,5.0,22,1,0.3742,56,56,56,0.0305,0.41
Tirupati,5871,4.1197,0.855,1.0,5.0,47,1,0.3858,57,57,57,0.031,0.4
Haridwar,5757,4.1027,0.8512,1.0,5.0,39,1,0.3691,58,58,58,0.0316,0.39
Vadodara,5699,4.2592,0.8212,1.0,5.0,71,1,0.4615,59,59,59,0.0321,0.38
Coimbatore,5544,4.2771,0.8179,1.0,5.0,76,1,0.4728,60,60,60,0.0327,0.37
Shillong,5492,4.1298,0.873,1.0,5.0,42,1,0.3991,61,61,61,0.0332,0.37
Indore,5451,4.2102,0.8278,1.0,5.0,55,1,0.4263,62,62,62,0.0338,0.37
Sawai Madhopur,5411,4.0329,0.9376,1.0,5.0,22,1,0.3691,63,63,63,0.0343,0.36
Madikeri,5369,4.1319,0.8907,1.0,5.0,9,1,0.4047,64,64,64,0.0349,0.36
Bhopal,5324,4.2748,0.851,1.0,5.0,63,1,0.4869,65,65,65,0.0355,0.36
Guwahati,4896,4.0842,0.8761,1.0,5.0,44,1,0.367,66,66,66,0.036,0.33
Noida,4849,4.4562,0.8224,1.0,5.0,26,1,0.6218,67,67,67,0.0366,0.33
Dharamsala,4758,4.3302,0.8334,1.0,5.0,29,1,0.521,68,68,68,0.0371,0.32
Pushkar,4363,4.0488,0.9098,1.0,5.0,17,1,0.3479,69,69,69,0.0377,0.29
Alappuzha,4352,4.1958,0.8976,1.0,5.0,45,1,0.4504,70,70,70,0.0382,0.29
Mangalore,4352,4.3045,0.8093,1.0,5.0,56,1,0.494,70,70,71,0.0382,0.29
Shirdi,4344,4.1646,0.8502,1.0,5.0,25,1,0.4164,72,71,72,0.0393,0.29
Chikmagalur,4104,4.1562,0.9203,1.0,5.0,49,1,0.4393,73,72,73,0.0399,0.28
Navi Mumbai,4057,4.3377,0.7884,1.0,5.0,47,1,0.5038,74,73,74,0.0404,0.27
Gulmarg,4000,4.0533,0.9694,1.0,5.0,16,1,0.3963,75,74,75,0.041,0.27
Yercaud,3950,4.0959,0.8935,1.0,5.0,24,1,0.3785,76,75,76,0.0416,0.27
Kovalam,3914,4.3615,0.8385,1.0,5.0,12,1,0.5483,77,76,77,0.0421,0.26
Pahalgam,3882,4.3241,0.8467,1.0,5.0,18,1,0.5281,78,77,78,0.0427,0.26
Surat,3556,4.4485,0.8029,1.0,5.0,57,1,0.6024,79,78,79,0.0432,0.24
Ujjain,3513,4.0296,0.8445,1.0,5.0,38,1,0.3234,80,79,80,0.0438,0.24
Dwarka,3484,4.0238,0.8981,1.0,5.0,16,1,0.3453,81,80,81,0.0443,0.24
Bardez,3478,4.3804,0.8175,1.0,5.0,11,1,0.5561,82,81,82,0.0449,0.23
Sohra,3427,4.1299,0.8774,1.0,5.0,28,1,0.396,83,82,83,0.0454,0.23
Bhuj,3278,4.1638,0.8885,1.0,5.0,35,1,0.4289,84,83,84,0.046,0.22
Varkala Town,3254,4.3768,0.8198,1.0,5.0,15,1,0.5513,85,84,85,0.0465,0.22
Goa Velha,3247,4.207,0.8249,1.0,5.0,9,1,0.4287,86,85,86,0.0471,0.22
Calangute,3194,4.232,0.9286,1.0,5.0,8,1,0.4875,87,86,87,0.0476,0.22
Canacona,3159,4.4733,0.7702,1.0,5.0,15,1,0.6144,88,87,88,0.0482,0.21
Diu,3144,4.1978,0.9118,1.0,5.0,22,1,0.4548,89,88,89,0.0488,0.21
Jammu City,3140,4.1608,0.8552,1.0,5.0,33,1,0.4115,90,89,90,0.0493,0.21
Khajuraho,3140,4.2232,0.8354,1.0,5.0,37,1,0.4468,90,89,91,0.0493,0.21
Coonoor,3126,4.2102,0.867,1.0,5.0,18,1,0.4437,92,90,92,0.0504,0.21
Dalhousie,3090,4.2184,0.8503,1.0,5.0,20,1,0.4456,93,91,93,0.051,0.21
Vrindavan,2997,4.3073,0.8604,1.0,5.0,17,1,0.5195,94,92,94,0.0515,0.2
Pelling,2976,4.1398,0.9037,1.0,5.0,12,1,0.4173,95,93,95,0.0521,0.2
Ajmer,2948,4.0787,0.9374,1.0,5.0,34,1,0.3989,96,94,96,0.0526,0.2
Alwar,2941,4.0184,1.0647,1.0,5.0,29,1,0.422,97,95,97,0.0532,0.2
Tiruchirappalli,2933,4.1469,0.8337,1.0,5.0,44,1,0.3894,98,96,98,0.0537,0.2
Patna,2928,4.0338,0.9163,1.0,5.0,54,1,0.3627,99,97,99,0.0543,0.2
Nagpur,2926,4.2061,0.8702,1.0,5.0,83,1,0.4477,100,98,100,0.0548,0.2
Kolhapur,2836,4.195,0.8531,1.0,5.0,36,1,0.4348,101,99,101,0.0554,0.19
Thrissur,2745,4.2991,0.8107,1.0,5.0,60,1,0.4918,102,100,102,0.056,0.19
Gwalior,2744,4.1633,0.8536,1.0,5.0,28,1,0.4103,103,101,103,0.0565,0.19
Somnath,2683,4.1133,0.9158,1.0,5.0,16,1,0.4167,104,102,104,0.0571,0.18
Thanjavur,2667,4.1935,0.8752,1.0,5.0,52,1,0.4424,105,103,105,0.0576,0.18
Lansdowne,2563,4.309,0.8362,1.0,5.0,14,1,0.5049,106,104,106,0.0582,0.17
Gokarna,2554,4.2541,0.8749,1.0,5.0,16,1,0.4875,107,105,107,0.0587,0.17
Daman,2458,4.0045,1.0309,1.0,5.0,21,1,0.38,108,106,108,0.0593,0.17
Sadri,2456,4.4051,0.778,1.0,5.0,2,1,0.5574,109,107,109,0.0598,0.17
Bikaner,2444,4.196,0.8515,1.0,5.0,25,1,0.4354,110,108,110,0.0604,0.16
Kannur,2436,4.2607,0.8481,1.0,5.0,60,1,0.4737,111,109,111,0.0609,0.16
Jabalpur,2409,4.2217,0.8332,1.0,5.0,26,1,0.4392,112,110,112,0.0615,0.16
Pachmarhi,2401,4.127,0.8752,1.0,5.0,33,1,0.394,113,111,113,0.062,0.16
Fatehpur Sikri,2394,4.0054,0.9445,1.0,5.0,22,1,0.353,114,112,114,0.0626,0.16
Agonda,2385,4.6197,0.6805,1.0,5.0,17,1,0.7132,115,113,115,0.0632,0.16
Matheran,2326,4.227,0.8312,1.0,5.0,22,1,0.4437,116,114,116,0.0637,0.16
Arpora,2273,4.3396,0.9086,1.0,5.0,10,1,0.5662,117,115,117,0.0643,0.15
Allahabad,2263,3.9629,0.9026,1.0,5.0,41,1,0.3195,118,116,118,0.0648,0.15
Bodh Gaya,2262,4.2255,0.8261,1.0,5.0,25,1,0.4412,119,117,119,0.0654,0.15
Sinquerim,2233,4.3471,0.8038,1.0,5.0,3,1,0.5186,120,118,120,0.0659,0.15
Kozhikode,2219,4.1794,0.8935,1.0,5.0,52,1,0.4367,121,119,121,0.0665,0.15
Khandala,2212,4.2789,0.8636,1.0,5.0,16,1,0.4968,122,120,122,0.067,0.15
Shimoga,2164,4.1881,0.8613,1.0,5.0,20,1,0.4325,123,121,123,0.0676,0.15
Panchgani,2133,4.2532,0.8363,1.0,5.0,17,1,0.4613,124,122,124,0.0681,0.14
Morjim,2107,4.6246,0.6638,2.0,5.0,12,1,0.7114,125,123,125,0.0687,0.14
Bharatpur,2080,4.2389,0.8432,1.0,5.0,9,1,0.4558,126,124,126,0.0693,0.14
Ajanta,2025,4.1101,0.9161,1.0,5.0,2,1,0.4084,127,125,127,0.0698,0.14
Thane,2022,4.3254,0.858,1.0,5.0,35,1,0.5227,128,126,128,0.0704,0.14
Junagadh,2019,4.0277,0.9153,1.0,5.0,38,1,0.3645,129,127,129,0.0709,0.14
Cavelossim,1958,4.5056,0.7536,1.0,5.0,16,1,0.6328,130,128,130,0.0715,0.13
Colva,1921,4.4008,0.829,1.0,5.0,10,1,0.5711,131,129,131,0.072,0.13
Chittaurgarh,1919,4.0172,0.9388,1.0,5.0,25,1,0.3622,132,130,132,0.0726,0.13
Alibaug,1911,4.1868,0.9523,1.0,5.0,24,1,0.4647,133,131,133,0.0731,0.13
Kumbhalgarh,1899,4.2438,0.8471,1.0,5.0,10,1,0.4608,134,132,134,0.0737,0.13
Udupi,1858,4.296,0.7784,1.0,5.0,34,1,0.4747,135,133,135,0.0742,0.13
Belur,1853,4.3907,0.7591,1.0,5.0,6,1,0.5397,136,134,136,0.0748,0.12
Orchha,1846,4.221,0.8547,1.0,5.0,19,1,0.4523,137,135,137,0.0753,0.12
Ganpatipule,1820,4.378,0.7554,1.0,5.0,10,1,0.5203,138,136,138,0.0759,0.12
Neil Island,1809,4.2736,0.8823,1.0,5.0,10,1,0.5003,139,137,139,0.0765,0.12
Mathura,1792,4.0285,0.9343,1.0,5.0,37,1,0.3644,140,138,140,0.077,0.12
Kasauli,1755,4.2108,0.8649,1.0,5.0,11,1,0.4496,141,139,141,0.0776,0.12
Benaulim,1750,4.5246,0.7183,1.0,5.0,11,1,0.6389,142,140,142,0.0781,0.12
Vypin Island,1746,4.4055,0.7964,1.0,5.0,10,1,0.563,143,141,143,0.0787,0.12
Kalimpong,1721,4.3446,0.7816,1.0,5.0,20,1,0.5125,144,142,144,0.0792,0.12
Varca,1695,4.5174,0.7366,1.0,5.0,3,1,0.6348,145,143,145,0.0798,0.11
Jim Corbett National Park,1692,4.1637,0.8274,1.0,5.0,6,1,0.3978,146,144,146,0.0803,0.11
Vijayawada,1684,4.2197,0.8376,1.0,5.0,24,1,0.4418,147,145,147,0.0809,0.11
Tawang,1674,3.9128,1.0457,1.0,5.0,26,1,0.3441,148,146,148,0.0814,0.11
