State,total_reviews,avg_rating,avg_rating_std,num_cities,avg_five_star_rate
Maharashtra,142866,4.2535,0.8563,9,0.4807
Rajasthan,114155,4.1717,0.8862,8,0.4334
Delhi,96937,4.2632,0.8745,1,0.4875
Tamil Nadu,87693,4.1686,0.8762,9,0.4266
Karnataka,70199,4.2254,0.8576,5,0.4618
Uttar Pradesh,67237,4.1416,0.8801,7,0.4141
West Bengal,45054,4.2072,0.8588,3,0.4427
Telangana,40780,4.2719,0.8204,3,0.4713
Gujarat,37008,4.2419,0.8413,7,0.4671
Himachal Pradesh,34884,4.2486,0.8583,3,0.4727
Uttarakhand,30319,4.2302,0.8481,5,0.4569
Jammu & Kashmir,25107,4.2219,0.8815,3,0.4707
Kerala,22749,4.1838,0.8749,4,0.4383
Madhya Pradesh,22581,4.1871,0.8409,6,0.4222
Sikkim,19403,4.1698,0.8831,2,0.4276
Goa,18494,4.195,0.8934,5,0.451
Punjab,17709,4.2719,0.8611,3,0.4963
Odisha,14679,4.1251,0.9097,3,0.4095
Puducherry,12271,4.2804,0.8737,1,0.4984
Chandigarh,9991,4.3907,0.8073,1,0.5588
Andhra Pradesh,7555,4.1697,0.8463,2,0.4138
Bihar,5909,3.93,0.9404,4,0.3292
Meghalaya,5492,4.1298,0.873,1,0.3991
Assam,4896,4.0842,0.8761,1,0.367
Jharkhand,2703,4.3027,0.7889,2,0.4795
Arunachal Pradesh,1842,4.0546,0.9749,2,0.4012
Chhattisgarh,1582,4.311,0.7909,1,0.4874
Manipur,1058,3.8573,1.082,1,0.3195
Tripura,866,4.1374,0.8221,1,0.3811
Haryana,792,3.7954,1.0349,2,0.2982
Nagaland,595,3.8218,1.2193,1,0.3597
Mizoram,295,4.0,0.9404,1,0.3356
