City,review_count,avg_rating,rating_std,min_rating,max_rating,unique_places,unique_reviewers,five_star_rate,rank,dense_rank,row_num,pct_rank,review_pct
New Delhi,96937,4.2632,0.8745,1.0,5.0,423,1,0.4875,1,1,1,0.0,6.54
Mumbai,81483,4.271,0.8468,1.0,5.0,440,1,0.4835,2,2,2,0.0006,5.5
Bengaluru,54733,4.3814,0.8,1.0,5.0,311,1,0.5473,3,3,3,0.0011,3.69
Hyderabad,39622,4.2745,0.8515,1.0,5.0,244,1,0.4886,4,4,4,0.0017,2.67
Agra,39271,4.3126,0.8521,1.0,5.0,70,1,0.5187,5,5,5,0.0022,2.65
Jaipur,37717,4.2355,0.8539,1.0,5.0,186,1,0.4617,6,6,6,0.0028,2.54
Udaipur,30333,4.2554,0.8369,1.0,5.0,86,1,0.4668,7,7,7,0.0033,2.05
Kolkata,30283,4.1861,0.8708,1.0,5.0,231,1,0.4353,8,8,8,0.0039,2.04
Chennai,24595,4.1707,0.8969,1.0,5.0,390,1,0.4338,9,9,9,0.0044,1.66
Pune,22907,4.2372,0.8624,1.0,5.0,254,1,0.4663,10,10,10,0.005,1.55
Mysuru (Mysore),22741,4.2814,0.8376,1.0,5.0,76,1,0.485,11,11,11,0.0055,1.53
Amer,21055,4.434,0.7734,1.0,5.0,12,1,0.5805,12,12,12,0.0061,1.42
Kochi (Cochin),19809,4.1852,0.8593,1.0,5.0,106,1,0.4268,13,13,13,0.0066,1.34
Ahmedabad,18732,4.3238,0.8036,1.0,5.0,119,1,0.5017,14,14,14,0.0072,1.26
Srinagar,17225,4.2882,0.8284,1.0,5.0,60,1,0.4877,15,15,15,0.0078,1.16
Ooty,16580,4.1906,0.9026,1.0,5.0,60,1,0.4508,16,16,16,0.0083,1.12
Gangtok,16427,4.1997,0.8624,1.0,5.0,48,1,0.4379,17,17,17,0.0089,1.11
Leh,16204,4.1392,0.9184,1.0,5.0,75,1,0.4254,18,18,18,0.0094,1.09
Amritsar,16081,4.1489,0.9902,1.0,5.0,55,1,0.4624,19,19,19,0.01,1.08
Jodhpur,15745,4.2828,0.8366,1.0,5.0,72,1,0.4889,20,20,20,0.0105,1.06
