City,Place,review_count,avg_rating,rating_std,city_review_count,city_avg_rating,city_place_count,city_rank,city_dense_rank,city_row_number
Agra,Taj Mahal,23231,4.3228,0.8577,39271,4.3126,70,1,1,1
Amer,Amber Fort,13970,4.3633,0.7975,21055,4.434,12,1,1,1
Mumbai,Gateway of India,10710,4.1644,0.8517,81483,4.271,440,1,1,1
New Delhi,Qutub Minar,10358,4.2482,0.8389,96937,4.2632,423,1,1,1
New Delhi,Swaminarayan Akshardham,9770,4.4947,0.73,96937,4.2632,423,2,2,2
Mumbai,Bandra-Worli Sea Link,9160,4.31,0.8136,81483,4.271,440,2,2,2
Agra,Agra Fort,8570,4.2995,0.8246,39271,4.3126,70,2,2,2
New Delhi,India Gate,8330,4.0268,1.0759,96937,4.2632,423,3,3,3
Amritsar,Golden Temple,8096,4.4708,0.7385,16081,4.1489,55,1,1,1
New Delhi,Humayun's Tomb,7970,4.4358,0.7745,96937,4.2632,423,4,4,4
Bengaluru,ISKCON Temple Bangalore,7723,4.6115,0.6256,54733,4.3814,311,1,1,1
Udaipur,City Palace of Udaipur,7650,4.2571,0.8402,30333,4.2554,86,1,1,1
Mumbai,Marine Drive,7500,4.4603,0.7417,81483,4.271,440,3,3,3
Bengaluru,Wonderla Amusement Park,7161,4.7706,0.5768,54733,4.3814,311,2,2,2
Jodhpur,Mehrangarh Fort,6632,4.4662,0.7239,15745,4.2828,72,1,1,1
Jaipur,Hawa Mahal - Palace of Wind,6561,4.1712,0.8487,37717,4.2355,186,1,1,1
Baga,Baga Beach,6552,4.3318,0.886,6589,4.3309,4,1,1,1
Khopoli,Imagica Theme Park,5945,4.6421,0.7528,9655,4.6473,7,1,1,1
Jaipur,Jantar Mantar - Jaipur,5871,4.217,0.79,37717,4.2355,186,2,2,2
Bengaluru,Lalbagh Botanical Garden,5807,4.3906,0.7736,54733,4.3814,311,3,3,3
