State,ReviewCount,AverageRating,HotspotScore,NumCities,SentimentScore
Delhi,96937,4.2632,0.7873,1,0.3165
Chandigarh,9991,4.3907,0.7479,1,0.3478
Puducherry,12271,4.2804,0.7296,1,0.2978
Himachal Pradesh,47886,4.2251,0.6955,7,0.3009
Maharashtra,160781,4.2733,0.6879,18,0.3123
Jammu & Kashmir,41829,4.159,0.6855,5,0.3037
Sikkim,20856,4.1753,0.6835,3,0.2967
Tamil Nadu,94225,4.1806,0.6828,14,0.2974
Meghalaya,5492,4.1298,0.6822,1,0.2812
Kerala,35888,4.2037,0.6814,9,0.3082
Goa,22677,4.3096,0.6783,9,0.3256
Rajasthan,148083,4.1804,0.6776,16,0.3185
Gujarat,41676,4.2279,0.6768,11,0.3094
Karnataka,78517,4.2262,0.6752,10,0.3058
Jharkhand,3070,4.3317,0.6716,3,0.3511
Madhya Pradesh,27258,4.1624,0.6682,9,0.3003
Punjab,18684,4.2524,0.6624,5,0.3129
Uttar Pradesh,77073,4.2047,0.6615,14,0.3056
Uttarakhand,31805,4.1432,0.6569,8,0.291
Telangana,40903,4.3257,0.6539,5,0.3304
Chhattisgarh,2151,4.3035,0.6474,3,0.3305
Odisha,15941,4.1678,0.6462,6,0.3013
Andhra Pradesh,8051,4.1789,0.643,4,0.3132
Tripura,866,4.1374,0.6331,1,0.2887
West Bengal,46845,4.1314,0.6206,8,0.2658
Arunachal Pradesh,1842,4.0546,0.6068,2,0.2866
Haryana,1852,4.1172,0.5953,6,0.2992
Manipur,1058,3.8573,0.5918,1,0.2562
Bihar,6604,4.0086,0.5905,7,0.2546
Assam,5540,4.0679,0.588,5,0.2643
Mizoram,295,4.0,0.5776,1,0.255
Nagaland,713,3.8558,0.5521,2,0.2488
