City,review_count,avg_rating,unique_places
New Delhi,96937,4.2632,424
Mumbai,81483,4.271,444
Bengaluru,54733,4.3814,331
Hyderabad,39622,4.2745,244
Agra,39271,4.3126,69
Jaipur,37717,4.2355,185
Udaipur,30333,4.2554,84
Kolkata,30283,4.1861,225
Chennai,24595,4.1707,384
Pune,22907,4.2372,268
Mysuru (Mysore),22741,4.2814,76
Amer,21055,4.434,12
Kochi (Cochin),19809,4.1852,105
Ahmedabad,18732,4.3238,119
Srinagar,17225,4.2882,63
Ooty,16580,4.1906,62
Gangtok,16427,4.1997,47
Leh,16204,4.1392,71
Amritsar,16081,4.1489,53
Jodhpur,15745,4.2828,73
