Place,review_count,avg_rating,city
Taj Mahal,23231,4.3228,Agra
Amber Fort,13970,4.3633,Amer
Gateway of India,10710,4.1644,Mumbai
Qutub Minar,10358,4.2482,New Delhi
Swaminarayan Akshardham,10181,4.4928,New Delhi
Wonderla Amusement Park,9328,4.7685,Bengaluru
Bandra-Worli Sea Link,9160,4.31,Mumbai
Agra Fort,8570,4.2995,Agra
India Gate,8330,4.0268,New Delhi
Marine Drive,8184,4.4492,Mumbai
Golden Temple,8097,4.4707,Amritsar
Humayun's Tomb,7970,4.4358,New Delhi
ISKCON Temple Bangalore,7723,4.6116,Bengaluru
City Palace of Udaipur,7650,4.2571,Udaipur
Mehrangarh Fort,6632,4.4662,Jodhpur
Hawa Mahal - Palace of Wind,6561,4.1712,Jaipur
Baga Beach,6552,4.3318,Baga
Imagica Theme Park,5945,4.6421,Khopoli
Jantar Mantar - Jaipur,5871,4.217,Jaipur
Lalbagh Botanical Garden,5807,4.3906,Bengaluru
